part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role,reduplicationmaybespace,reduplication
adv v adj adv v adj poss n n,还 有 黄 还 有 白白 的 果 肉,72.00147846978378,AcadLang,Target_Child,72,child,白白,白白
v v n:name adj,吃 起来 甜甜 酸酸,72.00147846978378,AcadLang,Target_Child,72,child,甜甜,甜甜
n nom,圆圆 的,70.00143740117866,AcadLang,Target_Child,70,child,圆圆,圆圆
v v n:name poss,吃 起来 甜甜 的,58.001190989548036,AcadLang,Target_Child,58,child,甜甜,甜甜
pro poss n v:cop n nom,哦 它 的 形状 是 圆圆 的,70.00143740117866,AcadLang,Adult,70,adult,圆圆,圆圆
v adv v nom,摸 起来 滑滑 的,58.001190989548036,AcadLang,Target_Child,58,child,滑滑,滑滑
adv v adv adj nom,然后 吃 起来 硬硬 的,72.00147846978378,AcadLang,Target_Child,72,child,硬硬,硬硬
pro v:dirc v pro cl n v:cop pro:wh n nom,你 来 看看 这 个 苹果 是 什么 颜色 的,62.00127312675825,AcadLang,Adult,62,adult,看看,看看
pro prep adj n v pro:wh v:cop n,你 跟 小 羊 说说 什么 是 皮球,70.00143740117866,AcadLang,Adult,70,adult,说说,说说
v nom,滑滑 的,70.00143740117866,AcadLang,Target_Child,70,child,滑滑,滑滑
n nom,圆圆 的,61.0012525924557,AcadLang,Target_Child,61,child,圆圆,圆圆
adj n nom,红色 圆圆 的,62.00127312675825,AcadLang,Target_Child,62,child,圆圆,圆圆
n v:cop adj nom,肉 是 白白 的,61.0012525924557,AcadLang,Target_Child,61,child,白白,白白
v poss adj,滑滑 的 好,70.00143740117866,AcadLang,Adult,70,adult,滑滑,滑滑
pro poss n v:cop adj nom,它 的 皮 是 红红 的,62.00127312675825,AcadLang,Target_Child,62,child,红红,红红
n v:cop n nom,形状 是 圆圆 的,60.00123205815314,AcadLang,Target_Child,60,child,圆圆,圆圆
n:name poss,甜甜 的,61.0012525924557,AcadLang,Target_Child,61,child,甜甜,甜甜
v adv v:cop v n:name poss,吃 起来 是 酸酸 甜甜 的,60.00123205815314,AcadLang,Target_Child,60,child,酸酸,酸酸
post v v:resc n post post v:cop adj nom,里面 削 掉 皮 之后 里面 是 白白 的,62.00127312675825,AcadLang,Target_Child,62,child,白白,白白
pro cl n n v adv adj quant,那 个 苹果 外面 有 些 黑 点点,72.00147846978378,AcadLang,Target_Child,72,child,点点,点点
pro prep adj n v n poss n,你 给 小 羊 讲讲 篮球 的 形状,70.00143740117866,AcadLang,Adult,70,adult,讲讲,讲讲
n nom,圆圆 的,58.001190989548036,AcadLang,Target_Child,58,child,圆圆,圆圆
conj n v n:name poss,而且 味道 酸酸 甜甜 的,62.00127312675825,AcadLang,Target_Child,62,child,酸酸,酸酸
adj n v:cop adj nom,小 羊 是 红红 的,70.00143740117866,AcadLang,Target_Child,70,child,红红,红红
n nom,圆圆 的,72.00147846978378,AcadLang,Target_Child,72,child,圆圆,圆圆
n v:cop adj nom,哦 苹果 是 红红 的,70.00143740117866,AcadLang,Adult,70,adult,红红,红红
conj pro post v:cop adj nom,可是 它 里面 是 白白 的,70.00143740117866,AcadLang,Target_Child,70,child,白白,白白
adj nom,红红 的,72.00147846978378,AcadLang,Target_Child,72,child,红红,红红
n v nom,皮球 圆圆 的,61.0012525924557,AcadLang,Target_Child,61,child,圆圆,圆圆
post v:cop adj nom,嗯 里面 是 白白 的,70.00143740117866,AcadLang,Adult,70,adult,白白,白白
pro poss n pro poss n adv v:cop adj nom,它 的 外面 它 的 皮 都 是 红红 的,72.00147846978378,AcadLang,Target_Child,72,child,红红,红红
pro post pro v v n:name poss,它 里面 它 吃 起来 甜甜 的,72.00147846978378,AcadLang,Target_Child,72,child,甜甜,甜甜
n v adv v:cop v nom,苹果 摸 起来 是 滑滑 的,58.001190989548036,AcadLang,Target_Child,58,child,滑滑,滑滑
n v nom,形状 圆圆 的,60.00123205815314,AcadLang,Target_Child,60,child,圆圆,圆圆
adv nom v nom,这样 的 圆圆 的,70.00143740117866,AcadLang,Target_Child,70,child,圆圆,圆圆
v:cop neg v:cop n nom,是 不 是 香香 的,72.00147846978378,AcadLang,Adult,72,adult,香香,香香
v v n:name poss,吃 起来 甜甜 的,60.00123205815314,AcadLang,Target_Child,60,child,甜甜,甜甜
adv pro v adv v:cop adj nom,然后 它 摸 起来 是 硬硬 的,72.00147846978378,AcadLang,Target_Child,72,child,硬硬,硬硬
adv adj asp adv neg adj n n,这样 过期 了 就 不 好吃 恩 恩,70.00143740117866,AcadLang,Adult,70,adult,恩 恩,恩恩
n:name poss,甜甜 的,72.00147846978378,AcadLang,Target_Child,72,child,甜甜,甜甜
n nom,圆圆 的,61.0012525924557,AcadLang,Target_Child,61,child,圆圆,圆圆
pro v,你 看看,70.00143740117866,AcadLang,Adult,70,adult,看看,看看
