part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role
on sfp,噼 呀,48.000985646522516,Zhou2,Target_Child,48,child
pro prep n post n n v v n:relat n:relat v co pro:wh n sfp adv v:cop adj adv sfp adv v num adv n v v:resc asp v cpt on on n v v v asp v v:resc asp n,它们 在 衣橱 上面 乒乒乓乓 地 乱蹦 乱跳 爸爸 妈妈 说 咦 什么 声音 啊 真 是 奇怪 然后 呢 又 有 一 只 皮皮鼠 听 到 了 吓 得 咕噜 咕噜 滚 下来 跌 倒 了 摔 断 了 手臂,42.0008624407072,Zhou2,Mother,42,adult
on,啪啪,48.000985646522516,Zhou2,Mother,48,adult
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Mother,42,adult
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,噔 噔,48.000985646522516,Zhou2,Target_Child,48,child
on on,噔 噔,48.000985646522516,Zhou2,Mother,48,adult
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,噔 噔,48.000985646522516,Zhou2,Target_Child,48,child
on on,嘣 嘣,48.000985646522516,Zhou2,Target_Child,48,child
on on,咚咚咚 咚咚咚,42.0008624407072,Zhou2,Target_Child,42,child
on on,呜 呜,48.000985646522516,Zhou2,Mother,48,adult
on co,呜 嗯,48.000985646522516,Zhou2,Target_Child,48,child
on,呜,48.000985646522516,Zhou2,Mother,48,adult
